cell_line,row,column,well,seeding_density,condition
RH-4,J,7,J07,4000,synthemax
RH-4,J,8,J08,4000,synthemax
RH-4,J,9,J09,8000,synthemax
RH-4,J,10,J10,8000,synthemax
RH-4,J,11,J11,12000,synthemax
RH-4,J,12,J12,12000,synthemax
COG-E-352,J,13,J13,1000,synthemax
COG-E-352,J,14,J14,1000,synthemax
COG-E-352,J,15,J15,2000,synthemax
COG-E-352,J,16,J16,2000,synthemax
COG-E-352,J,17,J17,4000,synthemax
COG-E-352,J,18,J18,4000,synthemax
COG-E-352,J,19,J19,8000,synthemax
COG-E-352,J,20,J20,8000,synthemax
COG-E-352,J,21,J21,12000,synthemax
COG-E-352,J,22,J22,12000,synthemax
RD,K,3,K03,1000,synthemax
RD,K,4,K04,1000,synthemax
RD,K,5,K05,2000,synthemax
RD,K,6,K06,2000,synthemax
RD,K,7,K07,4000,synthemax
RD,K,8,K08,4000,synthemax
RD,K,9,K09,8000,synthemax
RD,K,10,K10,8000,synthemax
RD,K,11,K11,12000,synthemax
RD,K,12,K12,12000,synthemax
COG-R-466h,K,13,K13,1000,synthemax
COG-R-466h,K,14,K14,1000,synthemax
COG-R-466h,K,15,K15,2000,synthemax
COG-R-466h,K,16,K16,2000,synthemax
COG-R-466h,K,17,K17,4000,synthemax
COG-R-466h,K,18,K18,4000,synthemax
COG-R-466h,K,19,K19,8000,synthemax
COG-R-466h,K,20,K20,8000,synthemax
COG-R-466h,K,21,K21,12000,synthemax
COG-R-466h,K,22,K22,12000,synthemax
RD,L,3,L03,1000,synthemax
RD,L,4,L04,1000,synthemax
RD,L,5,L05,2000,synthemax
RD,L,6,L06,2000,synthemax
RD,L,7,L07,4000,synthemax
RD,L,8,L08,4000,synthemax
RD,L,9,L09,8000,synthemax
RD,L,10,L10,8000,synthemax
RD,L,11,L11,12000,synthemax
RD,L,12,L12,12000,synthemax
COG-R-466h,L,13,L13,1000,synthemax
COG-R-466h,L,14,L14,1000,synthemax
COG-R-466h,L,15,L15,2000,synthemax
COG-R-466h,L,16,L16,2000,synthemax
COG-R-466h,L,17,L17,4000,synthemax
COG-R-466h,L,18,L18,4000,synthemax
COG-R-466h,L,19,L19,8000,synthemax
COG-R-466h,L,20,L20,8000,synthemax
COG-R-466h,L,21,L21,12000,synthemax
COG-R-466h,L,22,L22,12000,synthemax
RH-30,M,3,M03,1000,synthemax
RH-30,M,4,M04,1000,synthemax
RH-30,M,5,M05,2000,synthemax
RH-30,M,6,M06,2000,synthemax
RH-30,M,7,M07,4000,synthemax
RH-30,M,8,M08,4000,synthemax
RH-30,M,9,M09,8000,synthemax
